_id,_filename,_masterReleaseLabelId
1,attach_f_01_0001,1
2,attach_f_01_0002,1
3,attach_f_01_0003,1
4,attach_f_01_0004,1
5,attach_f_01_0005,1
6,attach_f_01_0006,1
7,attach_f_01_0007,1
8,attach_f_01_0008,1
9,attach_f_01_0009,1
10,attach_f_01_0010,1
11,attach_f_01_0011,1
12,attach_f_01_0012,1
13,attach_f_01_0013,1
14,attach_f_01_0014,1
15,attach_f_01_0015,1
16,attach_f_01_0016,1
17,attach_f_01_0017,1
18,attach_f_01_0018,1
19,attach_f_01_0019,1
20,attach_f_01_0020,1
21,attach_f_02_0001,1
22,attach_f_02_0002,1
23,attach_f_02_0003,1
24,attach_f_02_0004,1
25,attach_f_02_0005,1
26,attach_f_02_0006,1
27,attach_f_02_0007,1
28,attach_f_02_0008,1
29,attach_f_02_0009,1
30,attach_f_02_0010,1
31,attach_f_02_0011,1
32,attach_f_03_0001,1
33,attach_f_03_0002,1
34,attach_f_03_0003,1
35,attach_f_03_0004,1
36,attach_f_03_0005,1
37,attach_f_03_0006,1
38,attach_f_03_0007,1
39,attach_f_03_0008,1
40,attach_f_03_0009,1
41,attach_f_03_0010,1
42,attach_f_03_0011,1
43,attach_f_03_0012,1
44,attach_f_03_0013,1
45,attach_f_03_0014,1
46,attach_f_03_0015,1
47,attach_f_03_0016,1
48,attach_f_03_0017,1
49,attach_f_03_0018,1
50,attach_f_03_0019,1
51,attach_f_03_0020,1
52,attach_f_03_0021,1
53,attach_f_03_0022,1
54,attach_f_03_0023,1
55,attach_f_03_0024,1
56,attach_f_04_0001,1
57,attach_f_04_0002,1
58,attach_f_04_0003,1
59,attach_f_04_0004,1
60,attach_f_04_0005,1
61,attach_f_04_0006,1
62,attach_f_04_0007,1
63,attach_f_04_0008,1
64,attach_f_04_0009,1
65,attach_f_04_0010,1
66,attach_f_04_0011,1
67,attach_f_02_0012,1
68,attach_f_02_0013,1
69,attach_f_02_0014,1
70,attach_f_04_0012,123061702
71,attach_f_04_0013,123061702
72,attach_f_03_0025,123062902
73,attach_f_02_0015,123071302
74,attach_f_02_0016,123092102
75,attach_f_04_0014,123102902
76,attach_f_04_0015,323121501
77,attach_f_04_0016,323121501
78,attach_f_02_0017,124010103
79,attach_f_03_0026,124020502
80,attach_f_04_0017,124022502
81,attach_f_03_0027,124021502
82,attach_f_01_0021,324031601
83,attach_f_02_0018,324031602
84,attach_f_03_0028,324031603
