_id,_name,_description,_masterLocationRewardId,_bannerName,_priority,_masterReleaseLabelId
100001,スクフェスシリーズ感謝祭2023,ベルサール秋葉原,330100001,location_100001,99,223062002
100002,ブシロードゲームズ発表会,飛行船シアター,330100002,location_100002,99,223072701
100003,スクールアイドルミュージカル,日本青年館ホール,330100003,location_100003,99,223080301
100004,コミックマーケット102,東京国際展示場,330100004,location_100004,99,223081202
100005,ラブライブ！スーパースター!! Liella! 4th LoveLive! Tour ～brand new Sparkle～[千葉],幕張メッセ国際展示場 展示ホール9〜11,330100005,location_100005,99,223081901
100006,Animelo Summer Live 2023 -AXEL-,さいたまスーパーアリーナ,330100006,location_100006,99,223082502
100007,ラブライブ！スーパースター!! Liella! 4th LoveLive! Tour ～brand new Sparkle～[愛知],ポートメッセなごや 新第1展示館,330100007,location_100007,99,223082603
100008,ラブライブ！スーパースター!! Liella! 4th LoveLive! Tour ～brand new Sparkle～[東京],武蔵野の森総合スポーツプラザ メインアリーナ,330100008,location_100008,1,223090903
100009,ROLL ICE CREAM FACTORY×スクフェス2♪コラボ,ROLL ICE CREAM FACTORY 渋谷・TOHOシネタワー店,330100009,location_100009,2,223091602
100012,東京ゲームショウ,幕張メッセ,330100012,location_100012,99,223092301
100013,Half Anniversary記念おでかけプレゼント in AKIHABARAゲーマーズ本店,AKIHABARAゲーマーズ本店,330100013,location_100013,99,223100505
100014,Half Anniversary記念おでかけプレゼント in ゲーマーズ沼津店,ゲーマーズ沼津店,330100014,location_100014,99,223100505
100015,Half Anniversary記念おでかけプレゼント in ODAIBAゲーマーズ,ODAIBAゲーマーズ,330100015,location_100015,99,223100505
100016,Half Anniversary記念おでかけプレゼント in 原宿ゲーマーズ,原宿ゲーマーズ,330100016,location_100016,99,223100505
100017,Half Anniversary記念おでかけプレゼント in アニメイト秋葉原,アニメイト秋葉原,330100017,location_100017,99,223100505
100018,Half Anniversary記念おでかけプレゼント in アニメイト沼津,アニメイト沼津,330100018,location_100018,99,223100505
100019,ラブライブ！サンシャイン!! 沼津地元愛まつり 2023,キラメッセぬまづ,330100019,location_100019,99,223100702
100020,洋服の青山×ニジガクコラボ おでかけプレゼント in 洋服の青山 池袋東口総本店,洋服の青山 池袋東口総本店,330100020,location_100020,99,223110107
100021,洋服の青山×ニジガクコラボ おでかけプレゼント in 洋服の青山 リンクスウメダ店,洋服の青山 リンクスウメダ店,330100021,location_100021,99,223110107
100022,ヴァイスシュヴァルツ15周年記念ライブ in 東京ガーデンシアター,東京ガーデンシアター,330100022,location_100022,99,223110202
100023,アスルクラロ沼津ユニフォーム ラブライブ！サンシャイン!!2023エディション着用試合開催記念おでかけプレゼント in 愛鷹広域公園多目的競技場,愛鷹広域公園多目的競技場,330100023,location_100006,99,223111902
100024,異次元フェス アイドルマスター★♥ラブライブ！歌合戦開催記念おでかけプレゼント,東京ドーム,330100024,location_100006,99,223120903
100025,幻日のヨハネ -The Story of the Sound of Heart-開催記念おでかけプレゼント,武蔵野の森総合スポーツプラザ・メインアリーナ,330100025,location_100006,99,223121511
100026,ラブライブ！虹ヶ咲学園スクールアイドル同好会 6th Live! I love You ⇆ You love Me　愛知公演開催記念おでかけプレゼント,Aichi Sky Expo(愛知県国際展示場) ホールA,330100026,location_100006,99,223122302
100027,ラブライブ！虹ヶ咲学園スクールアイドル同好会 6th Live! I love You ⇆ You love Me　神奈川公演開催記念おでかけプレゼント,Ｋアリーナ横浜,330100027,location_100006,99,224011302
100028,スクールアイドルミュージカル＜2024年公演＞開催記念おでかけプレゼント,東急歌舞伎町タワー THEATER MILANO-Za,330100028,location_100006,99,224011103
100029,「ラブライブ！スーパースター!! Liella! 5th LoveLive! ～Twinkle Triangle～＜福岡公演＞」開催記念おでかけプレゼント,西日本総合展示場　新館,330100029,location_100006,99,224012004
100030,「ラブライブ！スーパースター!! Liella! 5th LoveLive! ～Twinkle Triangle～＜東京公演＞」開催記念おでかけプレゼント,武蔵野の森総合スポーツプラザ・メインアリーナ,330100030,location_100030,99,224021001
100031,ラブライブ！TVアニメ放送10周年記念　LoveLive! Special Talk Session　開催記念おでかけプレゼント,東京ガーデンシアター,330100031,location_100006,99,224022302
100032,「LoveLive! Series Presents ユニット甲子園 2024」開催記念おでかけプレゼント,Ｋアリーナ横浜,330100032,location_100006,99,224030902
